Total_Employees,Total_Crime
3.0,19.0
6.0,57.0
34.0,178.0
31.0,127.0
45.0,339.0
18.0,128.0
13.0,209.0
81.0,922.0
26.0,89.0
35.0,176.0
8.0,29.0
11.0,161.0
19.0,355.0
26.0,674.0
13.0,109.0
14.0,163.0
19.0,134.0
16.0,117.0
27.0,225.0
8.0,39.0
62.0,405.0
126.0,1769.0
10.0,87.0
284.0,2513.0
89.0,1256.0
6.0,113.0
24.0,423.0
17.0,101.0
12.0,140.0
12.0,165.0
32.0,260.0
7.0,60.0
12.0,92.0
44.0,473.0
15.0,150.0
33.0,667.0
16.0,194.0
47.0,641.0
17.0,140.0
24.0,295.0
151.0,2012.0
13.0,160.0
27.0,218.0
44.0,541.0
13.0,135.0
35.0,771.0
14.0,157.0
75.0,749.0
17.0,274.0
303.0,5324.0
152.0,2306.0
280.0,4708.0
81.0,1135.0
81.0,1267.0
114.0,1710.0
23.0,403.0
19.0,101.0
26.0,305.0
111.0,1730.0
11.0,96.0
143.0,2311.0
13.0,335.0
205.0,3706.0
46.0,797.0
93.0,1340.0
29.0,514.0
110.0,1578.0
56.0,1025.0
67.0,1269.0
58.0,732.0
6.0,40.0
11.0,178.0
80.0,1398.0
222.0,3939.0
113.0,2032.0
16.0,336.0
274.0,5073.0
48.0,719.0
2545.0,34740.0
149.0,2408.0
18.0,425.0
112.0,1967.0
181.0,2627.0
139.0,2641.0
42.0,656.0
97.0,1908.0
198.0,3922.0
39.0,805.0
217.0,2293.0
80.0,1582.0
31.0,421.0
330.0,5362.0
26.0,512.0
46.0,1005.0
131.0,2346.0
226.0,2815.0
16.0,130.0
48.0,676.0
187.0,3534.0
109.0,2043.0
92.0,1813.0
133.0,2194.0
37.0,993.0
155.0,2359.0
1325.0,28435.0
62.0,1213.0
93.0,1385.0
76.0,1269.0
80.0,1570.0
35.0,594.0
139.0,1942.0
79.0,1235.0
29.0,606.0
11.0,167.0
112.0,1776.0
22.0,427.0
18.0,382.0
13.0,181.0
122.0,2571.0
150.0,3245.0
27.0,418.0
12665.0,118659.0
276.0,5299.0
200.0,3735.0
19.0,322.0
68.0,1595.0
32.0,758.0
78.0,2008.0
100.0,2697.0
19.0,368.0
25.0,124.0
155.0,3322.0
288.0,5039.0
29.0,953.0
55.0,993.0
30.0,639.0
92.0,1936.0
163.0,3438.0
175.0,5243.0
321.0,5716.0
76.0,1768.0
91.0,2616.0
132.0,2971.0
16.0,397.0
178.0,3915.0
78.0,1900.0
119.0,3253.0
202.0,4603.0
8.0,181.0
84.0,2662.0
86.0,2123.0
77.0,2063.0
63.0,1481.0
1123.0,17103.0
63.0,1728.0
358.0,7616.0
91.0,1969.0
109.0,2305.0
74.0,2372.0
515.0,11972.0
23.0,268.0
9.0,230.0
96.0,2641.0
111.0,2631.0
33.0,681.0
165.0,4274.0
20.0,298.0
20.0,290.0
206.0,5109.0
60.0,1488.0
57.0,1134.0
90.0,2413.0
32.0,904.0
949.0,20112.0
88.0,2233.0
49.0,673.0
115.0,4683.0
134.0,3844.0
115.0,3523.0
83.0,2037.0
80.0,391.0
37.0,1296.0
373.0,4279.0
24.0,567.0
542.0,17369.0
959.0,24477.0
26.0,1342.0
19.0,356.0
115.0,3423.0
32.0,637.0
65.0,1495.0
30.0,937.0
145.0,6017.0
35.0,957.0
68.0,1961.0
42.0,1248.0
14.0,146.0
129.0,4783.0
149.0,2075.0
89.0,4373.0
260.0,6436.0
48.0,1328.0
24.0,562.0
54.0,1320.0
11.0,267.0
571.0,17120.0
55.0,1962.0
295.0,12148.0
394.0,13087.0
27.0,782.0
29.0,686.0
2711.0,59729.0
117.0,3308.0
44.0,842.0
1034.0,30619.0
32.0,1113.0
